Attendance,Exams,Major,Project,Questions,Seniority,Texting,Grade
1,67,Cs,80,Always,Freshman,Rarely,Fail
13,19,Comm,99,Always,Freshman,Always,Fail
34,67,Cs,61,Rare,Senior,Always,Fail
0,82,Stat,19,Rare,Freshman,Rarely,Fail
46,91,Stat,89,Always,Sophomore,Rarely,Pass
34,22,Stat,30,Rare,Junior,Rarely,Fail
13,96,Stat,50,Rare,Junior,Rarely,Pass
78,83,Stat,28,Always,Sophomore,Always,Fail
87,35,Comm,74,Always,Senior,Always,Pass
8,48,Comm,16,Rare,Senior,Rarely,Fail
60,40,Comm,0,Rare,Junior,Always,Pass
18,35,Cs,98,Rare,Junior,Rarely,Fail
49,57,Cs,96,Rare,Sophomore,Always,Pass
5,22,Cs,12,Rare,Senior,Rarely,Fail
40,35,Comm,33,Rare,Sophomore,Rarely,Fail
94,26,Stat,19,Rare,Junior,Rarely,Fail
57,7,Cs,80,Rare,Senior,Rarely,Fail
58,35,Cs,44,Rare,Senior,Rarely,Fail
34,49,Comm,49,Always,Senior,Rarely,Pass
13,85,Comm,9,Rare,Junior,Always,Pass
29,52,Comm,3,Always,Senior,Rarely,Fail
53,14,Polsci,41,Always,Junior,Always,Fail
29,47,Polsci,31,Rare,Senior,Rarely,Fail
45,74,Polsci,57,Rare,Junior,Always,Pass
62,40,Comm,38,Rare,Junior,Always,Fail
58,46,Polsci,84,Rare,Sophomore,Rarely,Fail
95,26,Cs,30,Rare,Junior,Always,Fail
14,80,Stat,27,Rare,Freshman,Rarely,Fail
4,94,Stat,54,Always,Junior,Rarely,Pass
0,63,Comm,37,Always,Sophomore,Rarely,Pass
52,0,Stat,1,Rare,Freshman,Rarely,Fail
4,60,Polsci,38,Rare,Freshman,Rarely,Fail
48,29,Comm,43,Rare,Sophomore,Always,Pass
100,53,Polsci,72,Always,Sophomore,Always,Pass
61,45,Polsci,11,Always,Senior,Rarely,Pass
32,17,Cs,94,Always,Senior,Rarely,Fail
23,53,Cs,5,Always,Sophomore,Always,Fail
45,96,Comm,27,Always,Junior,Rarely,Pass
18,32,Polsci,42,Always,Freshman,Always,Pass
99,36,Stat,30,Always,Sophomore,Always,Fail
28,21,Comm,90,Rare,Senior,Rarely,Pass
16,61,Stat,56,Always,Junior,Rarely,Fail
78,97,Comm,65,Rare,Junior,Always,Pass
43,52,Cs,21,Always,Freshman,Rarely,Fail
14,57,Polsci,3,Rare,Sophomore,Rarely,Fail
20,17,Polsci,44,Rare,Sophomore,Always,Fail
74,23,Comm,22,Rare,Freshman,Rarely,Fail
25,29,Polsci,52,Always,Sophomore,Always,Pass
21,85,Polsci,35,Rare,Senior,Always,Fail
29,21,Cs,75,Always,Sophomore,Rarely,Fail
8,93,Cs,12,Always,Senior,Rarely,Fail
44,1,Polsci,30,Rare,Freshman,Rarely,Fail
59,37,Polsci,12,Always,Junior,Always,Pass
66,11,Stat,59,Rare,Junior,Rarely,Fail
2,17,Cs,58,Always,Freshman,Rarely,Fail
50,68,Stat,97,Rare,Junior,Rarely,Pass
12,29,Stat,30,Always,Senior,Rarely,Fail
86,79,Cs,66,Always,Junior,Always,Pass
93,55,Comm,41,Always,Freshman,Rarely,Pass
26,89,Stat,77,Always,Junior,Always,Fail
42,22,Polsci,48,Always,Junior,Always,Pass
18,64,Cs,39,Always,Senior,Rarely,Fail
28,43,Polsci,44,Rare,Senior,Always,Fail
4,31,Polsci,4,Rare,Junior,Always,Fail
100,51,Comm,87,Always,Freshman,Always,Pass
31,26,Polsci,92,Always,Sophomore,Rarely,Pass
40,84,Cs,16,Rare,Junior,Rarely,Fail
64,100,Stat,14,Always,Freshman,Rarely,Fail
46,78,Comm,55,Always,Senior,Always,Pass
56,64,Cs,42,Rare,Sophomore,Always,Pass
19,40,Comm,79,Always,Sophomore,Rarely,Fail
0,20,Cs,46,Rare,Junior,Always,Fail
89,63,Polsci,13,Always,Senior,Always,Pass
98,77,Stat,48,Always,Sophomore,Rarely,Fail
31,42,Cs,79,Rare,Junior,Rarely,Fail
7,85,Polsci,29,Rare,Junior,Always,Pass
51,77,Cs,43,Rare,Sophomore,Rarely,Pass
100,46,Stat,9,Rare,Sophomore,Rarely,Fail
85,31,Comm,98,Always,Junior,Always,Pass
66,80,Stat,45,Always,Sophomore,Rarely,Fail
13,82,Cs,93,Always,Senior,Always,Pass
41,15,Stat,13,Always,Senior,Always,Fail
12,97,Polsci,67,Rare,Sophomore,Rarely,Pass
38,1,Comm,69,Always,Junior,Rarely,Fail
19,78,Polsci,12,Always,Senior,Rarely,Pass
64,50,Stat,74,Always,Sophomore,Rarely,Fail
68,19,Comm,25,Rare,Senior,Always,Fail
79,27,Cs,68,Always,Junior,Always,Fail
46,59,Cs,98,Always,Junior,Rarely,Fail
8,0,Cs,92,Always,Junior,Always,Fail
99,86,Cs,92,Rare,Freshman,Always,Fail
41,31,Stat,63,Always,Freshman,Always,Fail
80,35,Cs,27,Always,Senior,Always,Fail
42,75,Comm,41,Always,Sophomore,Rarely,Pass
12,54,Polsci,94,Rare,Sophomore,Rarely,Pass
52,42,Comm,13,Rare,Junior,Rarely,Fail
64,14,Cs,87,Always,Senior,Always,Fail
75,33,Polsci,97,Always,Freshman,Always,Pass
70,32,Comm,18,Always,Freshman,Rarely,Fail
52,10,Stat,23,Rare,Sophomore,Rarely,Fail
48,5,Comm,100,Always,Senior,Rarely,Pass
93,14,Cs,43,Rare,Junior,Always,Fail
62,74,Comm,57,Rare,Sophomore,Rarely,Pass
16,65,Polsci,32,Always,Freshman,Rarely,Pass
6,11,Polsci,39,Rare,Senior,Always,Fail
17,89,Stat,38,Always,Sophomore,Rarely,Pass
71,0,Cs,28,Always,Freshman,Rarely,Fail
100,81,Cs,25,Always,Senior,Always,Fail
83,52,Comm,30,Rare,Junior,Rarely,Fail
23,42,Stat,19,Always,Senior,Always,Fail
4,99,Stat,25,Always,Senior,Always,Pass
30,91,Stat,73,Always,Senior,Always,Pass
37,68,Comm,85,Always,Sophomore,Rarely,Pass
60,21,Comm,2,Rare,Freshman,Always,Pass
63,98,Stat,94,Always,Freshman,Always,Fail
67,2,Polsci,0,Rare,Junior,Always,Fail
86,43,Polsci,77,Always,Junior,Always,Pass
80,13,Stat,30,Always,Freshman,Rarely,Fail
93,68,Comm,39,Rare,Sophomore,Always,Pass
11,77,Cs,12,Always,Sophomore,Rarely,Pass
58,4,Polsci,57,Rare,Senior,Rarely,Fail
1,57,Cs,57,Rare,Senior,Always,Fail
95,15,Polsci,13,Always,Sophomore,Rarely,Pass
91,25,Comm,92,Always,Sophomore,Always,Pass
72,34,Polsci,15,Rare,Junior,Always,Fail
18,2,Polsci,13,Rare,Sophomore,Rarely,Fail
96,15,Cs,75,Always,Junior,Rarely,Fail
52,38,Polsci,98,Rare,Senior,Always,Pass
22,87,Cs,93,Rare,Junior,Always,Pass
49,70,Stat,60,Rare,Senior,Always,Fail
25,63,Stat,25,Always,Senior,Rarely,Fail
94,77,Polsci,45,Rare,Sophomore,Always,Pass
25,31,Cs,6,Always,Junior,Always,Fail
45,100,Cs,36,Rare,Junior,Rarely,Pass
38,47,Stat,86,Always,Senior,Always,Fail
55,31,Polsci,84,Always,Senior,Always,Pass
22,100,Stat,14,Always,Freshman,Always,Fail
45,52,Cs,2,Always,Sophomore,Rarely,Fail
4,45,Cs,7,Rare,Sophomore,Always,Fail
83,69,Comm,6,Always,Senior,Rarely,Fail
29,50,Polsci,78,Rare,Freshman,Always,Pass
70,36,Polsci,43,Always,Senior,Rarely,Pass
33,32,Stat,38,Rare,Freshman,Rarely,Fail
33,92,Stat,98,Rare,Sophomore,Always,Pass
51,23,Polsci,85,Always,Sophomore,Always,Fail
62,79,Cs,62,Rare,Junior,Rarely,Pass
19,6,Polsci,53,Always,Freshman,Rarely,Pass
85,65,Stat,24,Always,Freshman,Rarely,Fail
54,91,Comm,50,Always,Senior,Always,Pass
0,92,Cs,23,Always,Freshman,Rarely,Fail
13,36,Polsci,43,Always,Junior,Always,Pass
61,11,Cs,1,Always,Sophomore,Always,Fail
65,93,Stat,40,Rare,Senior,Rarely,Fail
23,6,Cs,67,Rare,Junior,Always,Fail
75,29,Polsci,25,Always,Senior,Always,Pass
58,69,Comm,32,Rare,Freshman,Rarely,Fail
48,15,Cs,22,Rare,Sophomore,Always,Fail
26,49,Polsci,81,Rare,Sophomore,Rarely,Fail
6,3,Polsci,26,Always,Freshman,Rarely,Pass
68,10,Stat,93,Always,Senior,Always,Fail
97,37,Cs,19,Always,Senior,Always,Fail
80,85,Comm,25,Always,Freshman,Always,Fail
50,21,Polsci,68,Always,Senior,Always,Pass
52,21,Polsci,87,Rare,Freshman,Always,Pass
83,78,Stat,92,Always,Junior,Always,Pass
59,94,Stat,4,Rare,Sophomore,Rarely,Fail
44,0,Cs,95,Always,Senior,Rarely,Fail
59,56,Stat,96,Always,Freshman,Rarely,Pass
17,63,Polsci,81,Rare,Freshman,Always,Pass
3,51,Polsci,87,Rare,Junior,Rarely,Pass
28,55,Polsci,42,Always,Junior,Always,Pass
13,4,Stat,1,Rare,Sophomore,Rarely,Fail
73,85,Stat,1,Always,Senior,Rarely,Fail
17,71,Cs,59,Rare,Sophomore,Always,Pass
3,88,Polsci,43,Always,Senior,Rarely,Fail
98,77,Cs,50,Rare,Senior,Always,Pass
97,92,Stat,62,Rare,Senior,Always,Pass
12,10,Stat,80,Rare,Junior,Always,Fail
72,9,Cs,76,Rare,Sophomore,Rarely,Fail
63,60,Stat,53,Rare,Junior,Always,Fail
14,20,Polsci,2,Always,Senior,Rarely,Pass
11,34,Comm,92,Always,Junior,Rarely,Fail
79,35,Stat,52,Rare,Sophomore,Rarely,Fail
24,85,Polsci,14,Rare,Junior,Always,Fail
97,88,Comm,50,Rare,Senior,Always,Pass
32,6,Comm,39,Always,Sophomore,Always,Pass
49,66,Cs,91,Rare,Junior,Always,Pass
78,88,Cs,69,Rare,Sophomore,Always,Pass
38,39,Stat,77,Rare,Freshman,Rarely,Fail
70,90,Polsci,62,Rare,Junior,Always,Pass
15,25,Stat,11,Rare,Senior,Rarely,Fail
84,79,Cs,36,Always,Sophomore,Always,Pass
88,56,Stat,73,Rare,Sophomore,Always,Fail
58,97,Stat,30,Rare,Sophomore,Always,Fail
18,100,Polsci,79,Always,Freshman,Always,Pass
12,23,Cs,32,Rare,Junior,Rarely,Fail
31,57,Comm,74,Rare,Sophomore,Always,Pass
0,22,Stat,44,Always,Freshman,Always,Fail
78,10,Comm,2,Rare,Freshman,Rarely,Fail
97,95,Polsci,4,Always,Senior,Always,Pass
17,42,Polsci,13,Rare,Senior,Rarely,Fail
63,8,Cs,89,Rare,Freshman,Rarely,Fail
2,34,Comm,78,Rare,Sophomore,Rarely,Pass
81,76,Stat,3,Rare,Junior,Always,Fail
100,33,Cs,21,Rare,Sophomore,Always,Fail
42,60,Stat,6,Rare,Freshman,Always,Fail
92,80,Polsci,22,Rare,Freshman,Rarely,Fail
36,39,Cs,35,Rare,Senior,Always,Fail
16,32,Stat,49,Rare,Sophomore,Rarely,Fail
45,91,Cs,68,Always,Sophomore,Rarely,Pass
3,9,Polsci,96,Always,Freshman,Always,Pass
76,81,Polsci,14,Rare,Junior,Always,Fail
23,72,Cs,68,Rare,Junior,Rarely,Pass
11,16,Polsci,83,Always,Sophomore,Rarely,Pass
50,77,Comm,68,Rare,Junior,Always,Pass
5,96,Cs,48,Always,Junior,Rarely,Pass
59,84,Polsci,52,Rare,Freshman,Always,Pass
78,79,Stat,91,Rare,Junior,Always,Pass
24,99,Cs,91,Rare,Junior,Always,Fail
19,68,Comm,97,Rare,Sophomore,Always,Pass
69,54,Stat,82,Rare,Sophomore,Rarely,Pass
71,18,Comm,82,Rare,Sophomore,Rarely,Pass
13,28,Polsci,96,Always,Freshman,Always,Pass
82,18,Polsci,96,Rare,Sophomore,Rarely,Pass
62,94,Polsci,81,Rare,Sophomore,Rarely,Pass
33,85,Cs,68,Rare,Senior,Rarely,Pass
61,8,Comm,70,Rare,Senior,Always,Pass
84,91,Polsci,80,Rare,Senior,Always,Pass
91,76,Comm,15,Always,Sophomore,Always,Pass
23,95,Polsci,21,Rare,Senior,Rarely,Pass
100,75,Polsci,78,Rare,Senior,Always,Pass
2,15,Comm,0,Rare,Sophomore,Always,Fail
48,8,Comm,55,Always,Junior,Rarely,Pass
73,53,Cs,3,Always,Junior,Rarely,Fail
4,60,Polsci,68,Always,Sophomore,Rarely,Fail
78,24,Stat,38,Always,Sophomore,Always,Fail
51,60,Polsci,36,Rare,Junior,Rarely,Fail
85,5,Cs,54,Rare,Junior,Rarely,Fail
15,31,Comm,83,Always,Senior,Rarely,Fail
31,49,Cs,66,Always,Freshman,Always,Fail
84,44,Comm,91,Rare,Freshman,Rarely,Pass
39,26,Stat,74,Rare,Sophomore,Rarely,Fail
65,52,Comm,17,Always,Freshman,Always,Fail
35,20,Cs,100,Rare,Sophomore,Always,Fail
20,62,Comm,76,Always,Freshman,Rarely,Pass
69,60,Polsci,41,Rare,Freshman,Always,Fail
13,43,Stat,16,Always,Freshman,Always,Fail
9,18,Polsci,49,Rare,Freshman,Rarely,Fail
79,92,Stat,70,Always,Freshman,Rarely,Fail
81,68,Comm,79,Rare,Freshman,Rarely,Pass
50,58,Comm,88,Always,Freshman,Always,Pass
30,47,Stat,23,Always,Junior,Always,Fail
90,10,Polsci,91,Always,Sophomore,Rarely,Pass
94,26,Cs,47,Always,Freshman,Rarely,Fail
26,40,Cs,93,Always,Sophomore,Always,Pass
13,48,Comm,96,Rare,Junior,Always,Pass
41,99,Polsci,66,Rare,Sophomore,Always,Pass
51,75,Polsci,83,Rare,Senior,Rarely,Pass
71,30,Comm,73,Always,Freshman,Always,Pass
31,8,Comm,0,Rare,Senior,Always,Pass
58,45,Polsci,13,Rare,Freshman,Rarely,Fail
0,86,Cs,43,Rare,Freshman,Rarely,Fail
75,75,Polsci,59,Rare,Sophomore,Rarely,Pass
82,11,Polsci,62,Rare,Junior,Always,Fail
46,13,Stat,84,Rare,Sophomore,Rarely,Fail
66,91,Polsci,71,Rare,Junior,Always,Pass
76,94,Comm,74,Always,Junior,Rarely,Pass
66,8,Polsci,37,Rare,Junior,Rarely,Fail
78,32,Comm,93,Always,Senior,Rarely,Pass
4,70,Polsci,48,Rare,Junior,Rarely,Fail
5,22,Stat,23,Always,Senior,Always,Fail
77,76,Comm,18,Always,Freshman,Rarely,Fail
96,62,Polsci,55,Always,Junior,Always,Pass
92,25,Cs,34,Rare,Sophomore,Rarely,Fail
3,88,Cs,24,Always,Junior,Rarely,Pass
58,89,Comm,8,Rare,Senior,Rarely,Fail
5,42,Cs,97,Rare,Sophomore,Rarely,Pass
22,100,Stat,87,Always,Junior,Always,Fail
47,48,Cs,67,Rare,Sophomore,Rarely,Pass
64,1,Polsci,16,Always,Sophomore,Always,Pass
46,1,Cs,42,Always,Freshman,Rarely,Fail
87,29,Comm,52,Always,Sophomore,Always,Pass
0,67,Stat,85,Always,Freshman,Always,Pass
27,19,Stat,17,Always,Freshman,Always,Fail
81,14,Polsci,89,Always,Senior,Always,Pass
8,14,Polsci,14,Always,Sophomore,Rarely,Pass
39,41,Comm,100,Rare,Junior,Rarely,Pass
29,45,Polsci,18,Rare,Sophomore,Rarely,Fail
15,75,Comm,61,Rare,Sophomore,Always,Pass
49,85,Stat,60,Always,Junior,Always,Pass
92,38,Polsci,2,Always,Junior,Rarely,Pass
32,26,Stat,64,Always,Junior,Rarely,Fail
7,91,Cs,87,Always,Sophomore,Rarely,Pass
43,23,Cs,66,Rare,Sophomore,Always,Fail
55,71,Polsci,85,Always,Freshman,Always,Pass
73,6,Stat,24,Always,Sophomore,Always,Fail
95,90,Polsci,51,Always,Sophomore,Rarely,Pass
14,65,Cs,7,Always,Freshman,Rarely,Fail
71,25,Stat,59,Always,Freshman,Always,Fail
55,18,Stat,63,Always,Sophomore,Always,Fail
40,31,Comm,24,Rare,Senior,Always,Pass
69,52,Stat,64,Always,Junior,Always,Fail
96,14,Polsci,70,Always,Freshman,Rarely,Pass
13,38,Cs,10,Rare,Sophomore,Rarely,Fail
59,7,Comm,0,Always,Junior,Rarely,Fail
2,99,Cs,61,Rare,Freshman,Always,Fail
43,44,Comm,1,Rare,Junior,Rarely,Fail
15,44,Polsci,43,Always,Freshman,Rarely,Fail
26,1,Polsci,31,Rare,Junior,Always,Fail
98,27,Stat,53,Always,Sophomore,Rarely,Fail
16,31,Stat,77,Always,Junior,Rarely,Fail
52,72,Comm,91,Always,Senior,Rarely,Pass
24,11,Comm,97,Rare,Junior,Always,Pass
62,95,Comm,44,Rare,Freshman,Always,Pass
62,83,Comm,49,Always,Sophomore,Rarely,Pass
11,85,Cs,61,Always,Sophomore,Always,Pass
94,50,Cs,97,Always,Senior,Always,Fail
12,17,Polsci,71,Always,Freshman,Rarely,Pass
70,20,Stat,99,Rare,Senior,Always,Fail
55,79,Stat,38,Rare,Junior,Always,Pass
26,66,Stat,93,Always,Sophomore,Rarely,Fail
34,29,Stat,45,Always,Freshman,Rarely,Fail
38,39,Polsci,42,Always,Junior,Rarely,Pass
40,6,Comm,18,Rare,Sophomore,Always,Fail
32,56,Cs,34,Always,Sophomore,Rarely,Pass
72,41,Cs,14,Rare,Senior,Always,Fail
94,96,Cs,68,Always,Senior,Rarely,Pass
17,98,Stat,73,Always,Freshman,Rarely,Fail
37,7,Comm,15,Always,Senior,Rarely,Fail
51,52,Stat,3,Always,Junior,Rarely,Fail
25,11,Comm,0,Rare,Senior,Always,Pass
15,84,Comm,67,Always,Sophomore,Rarely,Pass
55,24,Stat,40,Always,Sophomore,Always,Fail
66,12,Stat,88,Always,Senior,Always,Fail
20,61,Comm,42,Always,Senior,Rarely,Pass
26,71,Cs,77,Always,Junior,Always,Pass
93,53,Stat,88,Rare,Senior,Rarely,Fail
70,27,Cs,7,Always,Freshman,Rarely,Fail
69,70,Polsci,98,Rare,Senior,Rarely,Pass
20,33,Polsci,90,Always,Freshman,Always,Fail
28,14,Comm,91,Rare,Sophomore,Rarely,Pass
36,26,Cs,53,Rare,Sophomore,Always,Fail
62,10,Comm,50,Always,Sophomore,Always,Pass
77,82,Cs,80,Rare,Freshman,Always,Pass
16,56,Cs,56,Rare,Freshman,Always,Fail
86,33,Stat,47,Rare,Freshman,Always,Fail
31,5,Cs,76,Rare,Junior,Rarely,Fail
10,6,Stat,82,Rare,Junior,Rarely,Fail
5,69,Cs,64,Rare,Senior,Always,Fail
32,89,Stat,18,Always,Freshman,Rarely,Pass
7,58,Cs,1,Always,Freshman,Rarely,Fail
4,6,Polsci,81,Rare,Senior,Rarely,Fail
49,53,Comm,95,Always,Freshman,Always,Pass
26,69,Stat,100,Always,Freshman,Always,Pass
45,99,Cs,30,Always,Junior,Rarely,Pass
24,17,Polsci,78,Always,Sophomore,Always,Pass
5,40,Stat,55,Rare,Freshman,Rarely,Fail
51,14,Stat,11,Always,Sophomore,Always,Fail
8,60,Comm,78,Rare,Freshman,Rarely,Fail
7,24,Stat,96,Always,Senior,Always,Fail
91,15,Cs,100,Rare,Senior,Always,Fail
32,73,Polsci,52,Rare,Senior,Always,Pass
19,45,Stat,17,Always,Junior,Always,Fail
59,48,Cs,35,Rare,Senior,Always,Fail
53,13,Polsci,67,Rare,Senior,Always,Fail
33,14,Polsci,62,Always,Freshman,Rarely,Pass
66,99,Stat,76,Rare,Junior,Rarely,Pass
37,42,Stat,44,Always,Freshman,Always,Fail
69,52,Stat,8,Always,Senior,Always,Fail
15,89,Comm,22,Rare,Sophomore,Rarely,Fail
93,47,Comm,18,Always,Sophomore,Rarely,Fail
18,37,Polsci,12,Always,Junior,Always,Pass
93,12,Comm,40,Rare,Junior,Always,Fail
1,79,Polsci,11,Rare,Senior,Always,Fail
69,50,Comm,24,Rare,Senior,Rarely,Fail
100,2,Cs,11,Rare,Sophomore,Always,Fail
32,22,Comm,54,Always,Junior,Rarely,Pass
86,65,Polsci,97,Rare,Freshman,Always,Pass
39,9,Stat,29,Always,Sophomore,Rarely,Fail
72,33,Cs,35,Rare,Junior,Always,Fail
51,80,Cs,15,Rare,Senior,Always,Fail
88,47,Comm,95,Rare,Freshman,Always,Pass
87,96,Stat,35,Always,Junior,Always,Fail
51,32,Cs,74,Always,Senior,Always,Fail
62,44,Polsci,14,Rare,Senior,Always,Fail
58,57,Polsci,7,Always,Sophomore,Rarely,Pass
95,73,Cs,83,Always,Senior,Rarely,Pass
59,33,Comm,68,Rare,Freshman,Rarely,Pass
8,93,Comm,29,Always,Freshman,Rarely,Pass
63,13,Stat,2,Always,Junior,Rarely,Fail
52,63,Cs,99,Always,Senior,Rarely,Pass
76,43,Stat,19,Rare,Junior,Always,Fail
64,54,Cs,91,Always,Senior,Always,Fail
20,84,Cs,1,Rare,Sophomore,Rarely,Pass
58,44,Comm,4,Rare,Junior,Rarely,Fail
45,75,Cs,82,Rare,Junior,Rarely,Fail
50,13,Comm,62,Always,Senior,Always,Pass
43,99,Polsci,55,Rare,Senior,Always,Pass
94,99,Cs,17,Always,Junior,Rarely,Pass
93,8,Comm,67,Rare,Freshman,Always,Pass
52,45,Cs,5,Always,Freshman,Always,Fail
31,22,Stat,44,Rare,Junior,Always,Fail
30,10,Comm,14,Always,Senior,Rarely,Fail
21,20,Comm,71,Rare,Freshman,Always,Pass
65,28,Stat,10,Rare,Freshman,Always,Fail
5,51,Polsci,18,Rare,Sophomore,Always,Fail
55,17,Stat,84,Rare,Freshman,Rarely,Fail
14,79,Polsci,54,Rare,Sophomore,Rarely,Pass
6,4,Polsci,78,Always,Senior,Rarely,Fail
1,23,Stat,74,Always,Junior,Always,Fail
62,18,Cs,88,Always,Sophomore,Always,Fail
56,1,Polsci,2,Rare,Senior,Rarely,Fail
92,73,Stat,26,Always,Senior,Always,Fail
49,61,Polsci,58,Rare,Senior,Always,Pass
2,65,Cs,38,Rare,Senior,Always,Fail
78,33,Comm,84,Always,Junior,Always,Fail
96,27,Polsci,71,Rare,Freshman,Rarely,Fail
73,42,Cs,85,Always,Freshman,Rarely,Fail
99,12,Comm,6,Rare,Junior,Rarely,Fail
90,17,Comm,39,Rare,Senior,Always,Pass
76,70,Stat,12,Rare,Sophomore,Always,Fail
89,32,Cs,0,Always,Senior,Always,Fail
78,96,Cs,44,Rare,Senior,Rarely,Pass
10,6,Comm,13,Rare,Senior,Always,Fail
91,73,Cs,93,Rare,Sophomore,Always,Pass
62,42,Polsci,96,Rare,Freshman,Always,Pass
71,16,Comm,31,Always,Junior,Always,Pass
77,17,Comm,44,Always,Freshman,Always,Pass
26,68,Cs,68,Always,Freshman,Rarely,Fail
12,48,Comm,19,Always,Junior,Rarely,Fail
90,68,Comm,48,Always,Freshman,Rarely,Pass
33,85,Stat,38,Always,Sophomore,Always,Pass
17,96,Stat,60,Always,Junior,Always,Fail
24,46,Cs,89,Always,Sophomore,Always,Pass
4,23,Stat,100,Rare,Senior,Always,Fail
27,36,Comm,23,Always,Senior,Rarely,Fail
17,57,Cs,72,Always,Senior,Always,Fail
74,27,Stat,49,Rare,Senior,Rarely,Fail
12,44,Comm,67,Always,Senior,Always,Pass
86,58,Polsci,92,Always,Freshman,Always,Pass
17,67,Stat,21,Always,Junior,Rarely,Fail
75,63,Polsci,42,Rare,Senior,Rarely,Pass
31,72,Polsci,16,Always,Freshman,Always,Pass
19,64,Stat,88,Rare,Sophomore,Rarely,Pass
66,13,Cs,32,Always,Freshman,Rarely,Fail
67,91,Comm,43,Rare,Junior,Always,Pass
7,53,Comm,42,Always,Freshman,Rarely,Pass
9,15,Cs,50,Always,Senior,Rarely,Fail
65,88,Comm,7,Rare,Sophomore,Always,Pass
42,19,Stat,45,Rare,Junior,Rarely,Fail
82,28,Cs,87,Always,Freshman,Rarely,Fail
33,9,Stat,93,Always,Freshman,Always,Fail
93,35,Polsci,78,Rare,Sophomore,Always,Pass
87,97,Cs,37,Always,Senior,Rarely,Pass
5,38,Comm,86,Rare,Junior,Always,Pass
45,66,Stat,31,Always,Freshman,Rarely,Fail
47,34,Comm,51,Rare,Sophomore,Always,Pass
57,62,Cs,27,Rare,Sophomore,Always,Pass
59,9,Comm,32,Always,Senior,Always,Fail
63,89,Polsci,7,Always,Senior,Always,Pass
100,83,Comm,15,Rare,Freshman,Always,Pass
23,96,Stat,7,Rare,Freshman,Rarely,Fail
69,50,Polsci,4,Always,Freshman,Always,Pass
82,70,Polsci,78,Always,Freshman,Rarely,Fail
76,48,Polsci,25,Rare,Junior,Rarely,Fail
26,71,Cs,93,Rare,Senior,Rarely,Pass
84,89,Comm,65,Always,Sophomore,Always,Pass
44,0,Comm,19,Always,Junior,Rarely,Fail
80,30,Cs,75,Rare,Junior,Always,Fail
43,8,Polsci,35,Rare,Junior,Always,Fail
55,48,Polsci,32,Always,Senior,Rarely,Pass
82,7,Comm,47,Rare,Freshman,Always,Fail
100,86,Comm,92,Always,Freshman,Rarely,Pass
27,12,Comm,59,Always,Junior,Always,Pass
62,39,Comm,34,Rare,Sophomore,Always,Pass
14,8,Polsci,20,Always,Junior,Rarely,Pass
15,62,Cs,4,Always,Junior,Always,Fail
86,34,Comm,54,Always,Junior,Always,Pass
32,75,Comm,89,Rare,Freshman,Rarely,Pass
37,50,Stat,69,Always,Sophomore,Rarely,Fail
2,81,Stat,39,Always,Sophomore,Always,Fail
3,98,Stat,73,Always,Freshman,Rarely,Pass
85,45,Stat,45,Always,Senior,Always,Fail
30,11,Comm,44,Always,Junior,Rarely,Fail
52,98,Cs,11,Rare,Junior,Always,Pass
42,36,Comm,56,Always,Junior,Always,Fail
34,34,Stat,68,Rare,Freshman,Rarely,Fail
71,79,Stat,52,Always,Senior,Rarely,Pass
10,74,Polsci,93,Always,Freshman,Rarely,Pass
52,10,Stat,64,Always,Junior,Always,Fail
85,15,Stat,27,Rare,Junior,Always,Fail
45,41,Comm,40,Rare,Freshman,Rarely,Pass
75,36,Stat,6,Rare,Sophomore,Always,Fail
22,4,Polsci,100,Always,Senior,Always,Fail
98,36,Stat,81,Always,Junior,Rarely,Fail
73,45,Cs,51,Always,Freshman,Rarely,Fail
20,11,Polsci,10,Rare,Senior,Rarely,Fail
75,5,Polsci,37,Rare,Sophomore,Rarely,Fail
1,86,Polsci,6,Always,Senior,Always,Pass
67,83,Comm,90,Always,Senior,Always,Pass
49,23,Cs,34,Rare,Freshman,Rarely,Fail
90,37,Stat,36,Always,Junior,Rarely,Fail
80,62,Cs,52,Always,Junior,Rarely,Fail
66,23,Polsci,72,Always,Sophomore,Rarely,Pass
4,16,Cs,5,Rare,Sophomore,Always,Fail
27,80,Cs,97,Rare,Senior,Always,Pass
43,3,Stat,63,Rare,Junior,Rarely,Fail
76,9,Comm,31,Always,Junior,Always,Pass
15,6,Cs,42,Always,Sophomore,Rarely,Fail
98,55,Comm,24,Always,Senior,Rarely,Fail
3,81,Cs,64,Rare,Junior,Rarely,Pass
99,44,Polsci,97,Always,Freshman,Rarely,Pass
73,23,Comm,23,Rare,Junior,Always,Pass
3,97,Polsci,32,Always,Junior,Always,Fail
15,10,Cs,89,Always,Sophomore,Always,Fail
31,55,Polsci,70,Rare,Junior,Rarely,Fail
77,76,Polsci,98,Always,Senior,Always,Pass
27,50,Stat,21,Always,Senior,Always,Fail
8,50,Comm,23,Rare,Sophomore,Rarely,Fail
58,59,Cs,81,Rare,Freshman,Always,Fail
75,86,Stat,27,Always,Junior,Always,Pass
88,0,Stat,0,Always,Senior,Rarely,Fail
75,56,Comm,41,Always,Senior,Rarely,Pass
4,85,Cs,65,Always,Senior,Rarely,Pass
28,69,Polsci,97,Rare,Senior,Always,Pass
20,41,Comm,32,Rare,Junior,Always,Pass
25,38,Comm,66,Rare,Senior,Always,Pass
97,88,Cs,19,Rare,Sophomore,Always,Pass
