Attendance,Major,Questions,Score,Seniority,Texting,Grade
80,Cs,Rare,79,Sophomore,Rarely,Pass
80,Comm,Always,10,Sophomore,Always,Pass
86,Polsci,Rare,24,Sophomore,Always,Fail
56,Stat,Rare,35,Senior,Rarely,Fail
66,Stat,Always,13,Freshman,Always,Fail
38,Polsci,Always,85,Senior,Always,Pass
62,Stat,Rare,65,Junior,Rarely,Fail
8,Polsci,Rare,4,Junior,Always,Fail
36,Cs,Rare,7,Junior,Always,Fail
56,Cs,Rare,35,Sophomore,Rarely,Fail
62,Comm,Always,68,Sophomore,Rarely,Pass
21,Stat,Always,53,Sophomore,Always,Fail
89,Comm,Always,72,Junior,Always,Pass
23,Comm,Always,76,Sophomore,Always,Pass
43,Stat,Always,41,Freshman,Always,Fail
28,Cs,Rare,70,Sophomore,Always,Pass
58,Comm,Rare,32,Senior,Always,Pass
47,Cs,Always,37,Freshman,Always,Fail
91,Polsci,Rare,94,Junior,Rarely,Pass
29,Cs,Rare,40,Freshman,Rarely,Fail
43,Cs,Rare,26,Senior,Always,Fail
44,Polsci,Always,43,Senior,Rarely,Pass
13,Polsci,Rare,3,Junior,Always,Fail
83,Cs,Always,1,Sophomore,Rarely,Fail
88,Comm,Rare,95,Junior,Always,Pass
50,Comm,Rare,4,Senior,Rarely,Fail
13,Comm,Rare,63,Freshman,Rarely,Pass
67,Stat,Always,92,Senior,Always,Pass
85,Comm,Rare,54,Sophomore,Rarely,Pass
11,Polsci,Rare,2,Senior,Always,Fail
26,Comm,Rare,19,Senior,Always,Pass
81,Cs,Always,78,Junior,Rarely,Pass
50,Cs,Always,80,Junior,Rarely,Fail
83,Cs,Always,35,Sophomore,Rarely,Fail
91,Stat,Rare,32,Sophomore,Rarely,Fail
67,Comm,Always,47,Freshman,Rarely,Pass
98,Cs,Always,24,Senior,Rarely,Fail
61,Polsci,Always,56,Senior,Rarely,Pass
55,Comm,Always,82,Freshman,Always,Pass
42,Stat,Always,69,Freshman,Rarely,Fail
93,Cs,Rare,19,Junior,Rarely,Fail
27,Comm,Rare,57,Freshman,Rarely,Fail
19,Polsci,Always,28,Freshman,Always,Pass
59,Polsci,Rare,58,Sophomore,Rarely,Pass
60,Cs,Always,12,Senior,Always,Fail
48,Stat,Rare,58,Sophomore,Rarely,Fail
40,Comm,Rare,80,Senior,Rarely,Pass
88,Cs,Always,45,Junior,Rarely,Fail
34,Polsci,Always,99,Freshman,Always,Pass
54,Cs,Rare,12,Sophomore,Always,Fail
62,Polsci,Always,43,Junior,Always,Pass
25,Comm,Always,84,Sophomore,Rarely,Pass
91,Stat,Rare,3,Sophomore,Always,Fail
89,Stat,Rare,54,Freshman,Rarely,Fail
18,Cs,Rare,76,Sophomore,Always,Pass
72,Cs,Always,82,Junior,Rarely,Pass
42,Polsci,Rare,94,Sophomore,Always,Pass
22,Comm,Always,87,Freshman,Rarely,Pass
75,Cs,Rare,45,Sophomore,Rarely,Fail
65,Comm,Always,89,Sophomore,Rarely,Pass
87,Comm,Always,58,Freshman,Rarely,Pass
14,Stat,Always,77,Freshman,Always,Fail
7,Stat,Always,18,Freshman,Always,Fail
38,Comm,Rare,73,Freshman,Rarely,Pass
0,Cs,Rare,41,Junior,Rarely,Fail
32,Stat,Always,86,Sophomore,Rarely,Fail
66,Polsci,Rare,43,Sophomore,Rarely,Fail
50,Polsci,Rare,30,Freshman,Rarely,Fail
36,Stat,Always,97,Senior,Always,Pass
29,Stat,Always,84,Sophomore,Always,Pass
31,Stat,Rare,85,Freshman,Rarely,Fail
36,Comm,Always,23,Sophomore,Rarely,Fail
81,Polsci,Rare,49,Senior,Always,Fail
37,Polsci,Rare,74,Senior,Always,Pass
69,Comm,Always,90,Junior,Rarely,Fail
66,Cs,Rare,57,Junior,Rarely,Fail
22,Stat,Always,0,Freshman,Rarely,Fail
39,Comm,Rare,5,Sophomore,Rarely,Fail
13,Comm,Always,58,Freshman,Rarely,Pass
67,Cs,Always,48,Freshman,Always,Pass
52,Cs,Always,62,Sophomore,Rarely,Pass
7,Cs,Rare,27,Junior,Always,Fail
35,Comm,Always,36,Junior,Always,Pass
92,Cs,Rare,36,Junior,Rarely,Fail
55,Polsci,Rare,99,Freshman,Rarely,Fail
54,Polsci,Rare,5,Freshman,Rarely,Fail
78,Polsci,Rare,52,Freshman,Always,Pass
97,Polsci,Rare,21,Sophomore,Rarely,Fail
84,Stat,Always,92,Freshman,Always,Fail
99,Cs,Always,30,Freshman,Always,Fail
56,Stat,Always,23,Junior,Rarely,Fail
64,Stat,Always,54,Senior,Always,Fail
35,Cs,Always,57,Sophomore,Rarely,Pass
61,Polsci,Always,34,Senior,Always,Pass
30,Polsci,Rare,42,Sophomore,Rarely,Fail
56,Cs,Rare,31,Freshman,Rarely,Fail
32,Polsci,Rare,95,Sophomore,Rarely,Pass
14,Polsci,Always,8,Junior,Always,Pass
13,Comm,Always,15,Senior,Rarely,Fail
77,Comm,Always,13,Junior,Rarely,Fail
77,Cs,Rare,43,Junior,Rarely,Fail
54,Stat,Rare,66,Junior,Rarely,Fail
94,Cs,Always,68,Senior,Rarely,Fail
91,Cs,Always,15,Freshman,Always,Fail
75,Polsci,Rare,51,Freshman,Always,Pass
30,Comm,Always,28,Sophomore,Always,Fail
5,Cs,Rare,78,Freshman,Rarely,Pass
87,Stat,Rare,64,Sophomore,Rarely,Fail
36,Comm,Rare,54,Freshman,Rarely,Pass
51,Polsci,Always,75,Sophomore,Always,Fail
13,Comm,Always,32,Freshman,Always,Fail
38,Cs,Rare,35,Freshman,Rarely,Fail
36,Cs,Rare,3,Senior,Rarely,Fail
60,Polsci,Rare,13,Senior,Rarely,Fail
4,Comm,Rare,74,Freshman,Rarely,Pass
94,Polsci,Rare,44,Freshman,Rarely,Fail
85,Cs,Always,76,Senior,Rarely,Fail
14,Stat,Always,37,Sophomore,Always,Fail
79,Comm,Rare,32,Senior,Always,Pass
51,Comm,Always,96,Senior,Rarely,Pass
37,Polsci,Rare,3,Senior,Always,Fail
12,Cs,Rare,97,Freshman,Always,Fail
86,Polsci,Rare,95,Freshman,Always,Pass
43,Cs,Always,8,Senior,Always,Fail
21,Cs,Always,92,Sophomore,Always,Pass
71,Comm,Rare,8,Sophomore,Rarely,Fail
40,Stat,Rare,81,Sophomore,Rarely,Pass
80,Cs,Rare,6,Junior,Always,Fail
42,Stat,Rare,73,Sophomore,Always,Pass
62,Stat,Always,70,Junior,Always,Fail
17,Stat,Always,53,Sophomore,Always,Fail
37,Polsci,Rare,28,Junior,Always,Fail
92,Stat,Rare,15,Freshman,Rarely,Fail
85,Polsci,Always,19,Sophomore,Always,Pass
5,Cs,Always,89,Freshman,Always,Fail
0,Stat,Always,26,Senior,Rarely,Fail
25,Cs,Rare,66,Senior,Rarely,Fail
28,Comm,Rare,83,Senior,Rarely,Pass
97,Comm,Always,61,Freshman,Always,Pass
7,Stat,Rare,76,Junior,Rarely,Pass
64,Comm,Always,3,Senior,Rarely,Fail
47,Stat,Rare,80,Senior,Rarely,Pass
83,Comm,Rare,9,Senior,Always,Fail
0,Comm,Always,26,Sophomore,Always,Pass
36,Polsci,Rare,47,Freshman,Rarely,Fail
100,Cs,Always,60,Sophomore,Always,Pass
0,Comm,Rare,58,Sophomore,Always,Pass
24,Stat,Always,20,Junior,Always,Fail
18,Stat,Rare,20,Sophomore,Rarely,Fail
65,Cs,Always,66,Junior,Rarely,Fail
0,Comm,Always,14,Junior,Rarely,Fail
19,Comm,Always,76,Senior,Rarely,Pass
89,Polsci,Rare,63,Senior,Always,Pass
36,Comm,Rare,36,Junior,Always,Pass
93,Polsci,Rare,58,Senior,Always,Pass
73,Comm,Rare,2,Senior,Always,Pass
100,Comm,Always,29,Sophomore,Always,Pass
23,Cs,Always,62,Sophomore,Rarely,Pass
26,Stat,Rare,35,Junior,Always,Fail
29,Cs,Rare,44,Sophomore,Always,Fail
4,Cs,Always,69,Sophomore,Always,Pass
25,Cs,Rare,23,Sophomore,Rarely,Fail
32,Polsci,Rare,62,Sophomore,Always,Pass
50,Polsci,Rare,41,Freshman,Always,Fail
69,Comm,Rare,40,Senior,Rarely,Fail
9,Comm,Always,91,Sophomore,Rarely,Pass
18,Cs,Always,42,Junior,Rarely,Fail
97,Polsci,Always,13,Sophomore,Always,Fail
77,Comm,Rare,100,Senior,Rarely,Pass
59,Stat,Rare,16,Sophomore,Rarely,Fail
54,Stat,Always,51,Junior,Rarely,Fail
98,Stat,Always,98,Freshman,Always,Fail
56,Polsci,Always,6,Senior,Rarely,Pass
89,Comm,Rare,1,Sophomore,Rarely,Fail
88,Comm,Always,16,Senior,Rarely,Fail
23,Polsci,Rare,29,Freshman,Rarely,Fail
86,Stat,Always,94,Senior,Always,Pass
100,Cs,Always,18,Junior,Rarely,Fail
57,Comm,Rare,7,Senior,Rarely,Fail
71,Comm,Rare,49,Junior,Always,Pass
90,Stat,Always,49,Freshman,Rarely,Fail
12,Polsci,Rare,98,Sophomore,Always,Pass
56,Polsci,Rare,66,Junior,Rarely,Pass
20,Polsci,Rare,1,Freshman,Always,Fail
64,Comm,Always,63,Junior,Always,Pass
94,Comm,Rare,29,Junior,Rarely,Fail
78,Cs,Always,51,Sophomore,Always,Pass
54,Cs,Always,15,Senior,Always,Fail
6,Comm,Always,34,Freshman,Always,Pass
35,Polsci,Always,99,Freshman,Rarely,Fail
63,Polsci,Always,57,Junior,Always,Fail
71,Comm,Always,29,Sophomore,Rarely,Fail
8,Stat,Always,38,Freshman,Rarely,Fail
42,Stat,Rare,87,Freshman,Always,Fail
15,Comm,Always,31,Sophomore,Rarely,Fail
26,Polsci,Rare,56,Junior,Always,Pass
24,Polsci,Always,45,Freshman,Always,Pass
35,Stat,Rare,90,Freshman,Rarely,Fail
75,Comm,Always,59,Senior,Always,Fail
43,Stat,Rare,86,Freshman,Always,Fail
92,Comm,Always,48,Freshman,Rarely,Pass
59,Polsci,Rare,31,Sophomore,Always,Fail
33,Cs,Always,8,Junior,Rarely,Fail
79,Polsci,Rare,99,Sophomore,Always,Pass
67,Comm,Always,32,Junior,Rarely,Fail
66,Polsci,Rare,28,Junior,Always,Fail
17,Cs,Always,51,Freshman,Always,Fail
36,Cs,Rare,55,Freshman,Always,Fail
59,Cs,Rare,58,Sophomore,Rarely,Pass
87,Cs,Rare,69,Senior,Always,Fail
27,Cs,Always,99,Junior,Rarely,Fail
20,Comm,Rare,60,Sophomore,Always,Pass
86,Polsci,Rare,93,Senior,Rarely,Pass
61,Stat,Always,79,Junior,Rarely,Pass
76,Comm,Rare,20,Sophomore,Rarely,Fail
38,Stat,Always,11,Junior,Always,Fail
17,Comm,Always,90,Junior,Rarely,Pass
30,Polsci,Rare,74,Senior,Always,Pass
12,Comm,Always,41,Sophomore,Rarely,Pass
12,Stat,Always,80,Junior,Rarely,Pass
2,Comm,Always,40,Junior,Rarely,Pass
65,Cs,Always,87,Senior,Always,Fail
70,Stat,Rare,62,Freshman,Rarely,Fail
82,Cs,Always,38,Freshman,Rarely,Fail
3,Comm,Always,100,Freshman,Always,Pass
90,Comm,Rare,18,Freshman,Rarely,Fail
69,Polsci,Always,92,Sophomore,Always,Pass
12,Stat,Always,25,Sophomore,Always,Fail
84,Comm,Rare,9,Sophomore,Always,Pass
8,Comm,Rare,74,Senior,Rarely,Pass
62,Comm,Always,11,Sophomore,Always,Fail
28,Polsci,Rare,79,Junior,Rarely,Pass
92,Cs,Rare,71,Freshman,Always,Fail
7,Polsci,Always,29,Sophomore,Always,Pass
79,Comm,Rare,13,Sophomore,Always,Pass
38,Cs,Always,55,Senior,Always,Fail
62,Polsci,Always,68,Senior,Rarely,Pass
30,Cs,Rare,83,Sophomore,Always,Pass
76,Stat,Rare,54,Senior,Rarely,Fail
13,Polsci,Always,11,Sophomore,Always,Pass
28,Comm,Always,24,Freshman,Rarely,Fail
52,Comm,Always,17,Freshman,Always,Pass
100,Stat,Rare,74,Freshman,Rarely,Pass
95,Cs,Always,67,Junior,Rarely,Fail
90,Comm,Always,14,Junior,Always,Pass
99,Polsci,Rare,13,Freshman,Always,Fail
22,Cs,Rare,16,Freshman,Always,Fail
35,Stat,Always,23,Senior,Rarely,Fail
72,Comm,Rare,64,Junior,Always,Pass
35,Cs,Rare,54,Sophomore,Rarely,Pass
23,Stat,Rare,56,Sophomore,Always,Fail
31,Stat,Always,38,Senior,Rarely,Fail
18,Polsci,Always,34,Junior,Rarely,Pass
10,Polsci,Rare,56,Senior,Always,Pass
59,Cs,Always,25,Freshman,Rarely,Fail
10,Cs,Rare,76,Senior,Always,Pass
53,Polsci,Always,53,Senior,Always,Pass
75,Polsci,Rare,2,Sophomore,Always,Fail
12,Cs,Rare,49,Sophomore,Rarely,Fail
95,Stat,Always,53,Freshman,Always,Fail
96,Comm,Always,53,Senior,Always,Pass
26,Comm,Rare,66,Senior,Always,Pass
31,Comm,Always,68,Junior,Rarely,Pass
63,Comm,Rare,53,Junior,Rarely,Pass
25,Comm,Always,89,Senior,Rarely,Fail
8,Comm,Always,97,Sophomore,Rarely,Pass
49,Cs,Always,21,Junior,Rarely,Fail
57,Cs,Rare,98,Junior,Always,Pass
30,Comm,Rare,21,Junior,Always,Fail
39,Stat,Always,31,Senior,Always,Fail
53,Stat,Rare,97,Junior,Rarely,Fail
47,Polsci,Always,59,Freshman,Always,Pass
37,Stat,Rare,80,Senior,Rarely,Fail
16,Comm,Rare,43,Sophomore,Always,Pass
60,Stat,Rare,32,Junior,Always,Fail
72,Cs,Always,15,Junior,Always,Fail
77,Cs,Always,74,Sophomore,Always,Fail
26,Cs,Always,100,Sophomore,Rarely,Pass
84,Comm,Rare,93,Freshman,Always,Pass
63,Comm,Always,64,Freshman,Always,Pass
20,Stat,Always,93,Junior,Rarely,Fail
60,Cs,Rare,96,Senior,Always,Pass
99,Stat,Always,74,Freshman,Rarely,Pass
84,Polsci,Rare,16,Junior,Rarely,Fail
59,Cs,Rare,17,Senior,Always,Fail
16,Comm,Always,66,Freshman,Rarely,Pass
94,Polsci,Rare,88,Sophomore,Always,Pass
99,Comm,Rare,1,Junior,Always,Pass
9,Stat,Rare,12,Junior,Rarely,Fail
50,Stat,Rare,69,Senior,Always,Pass
56,Comm,Always,23,Senior,Rarely,Fail
64,Stat,Rare,63,Senior,Always,Pass
31,Cs,Always,54,Sophomore,Rarely,Pass
52,Cs,Always,6,Sophomore,Rarely,Fail
57,Cs,Always,41,Senior,Rarely,Fail
2,Comm,Rare,98,Senior,Always,Pass
84,Comm,Rare,66,Freshman,Rarely,Pass
16,Cs,Always,48,Junior,Always,Fail
31,Comm,Always,93,Sophomore,Rarely,Pass
91,Comm,Always,30,Junior,Rarely,Fail
84,Comm,Rare,43,Freshman,Always,Pass
21,Cs,Always,67,Sophomore,Always,Pass
92,Polsci,Always,86,Sophomore,Always,Pass
24,Polsci,Always,67,Sophomore,Always,Pass
17,Stat,Always,29,Freshman,Rarely,Fail
40,Cs,Rare,72,Freshman,Rarely,Pass
2,Comm,Rare,51,Senior,Always,Pass
62,Stat,Rare,88,Junior,Always,Pass
80,Polsci,Rare,18,Sophomore,Rarely,Fail
53,Cs,Always,52,Junior,Always,Fail
58,Polsci,Always,8,Junior,Always,Pass
28,Comm,Rare,55,Senior,Always,Pass
90,Stat,Always,36,Freshman,Always,Fail
66,Polsci,Rare,95,Sophomore,Always,Pass
2,Comm,Rare,37,Junior,Always,Pass
31,Comm,Always,94,Senior,Rarely,Pass
67,Cs,Always,98,Sophomore,Always,Fail
70,Stat,Rare,99,Senior,Always,Fail
88,Cs,Rare,61,Senior,Always,Fail
67,Cs,Rare,22,Sophomore,Rarely,Fail
72,Polsci,Rare,93,Sophomore,Rarely,Fail
62,Comm,Always,22,Senior,Always,Pass
49,Polsci,Always,85,Senior,Rarely,Pass
30,Stat,Always,48,Sophomore,Always,Fail
71,Cs,Rare,46,Sophomore,Rarely,Fail
38,Cs,Always,73,Freshman,Always,Pass
16,Polsci,Always,55,Freshman,Always,Pass
91,Cs,Always,18,Sophomore,Always,Fail
47,Polsci,Always,59,Junior,Rarely,Fail
75,Comm,Always,99,Freshman,Rarely,Pass
14,Polsci,Always,45,Junior,Rarely,Pass
35,Polsci,Rare,29,Freshman,Always,Fail
21,Cs,Rare,15,Senior,Rarely,Fail
87,Comm,Always,4,Junior,Rarely,Fail
95,Comm,Always,77,Junior,Rarely,Pass
62,Polsci,Always,10,Junior,Always,Pass
71,Comm,Always,12,Senior,Always,Pass
74,Comm,Rare,1,Junior,Always,Pass
98,Polsci,Rare,27,Freshman,Rarely,Fail
80,Stat,Rare,86,Freshman,Rarely,Fail
18,Comm,Rare,82,Freshman,Rarely,Pass
93,Comm,Always,57,Junior,Always,Fail
12,Comm,Always,48,Sophomore,Always,Pass
11,Stat,Rare,99,Sophomore,Rarely,Fail
79,Polsci,Always,41,Junior,Always,Pass
100,Comm,Always,66,Senior,Rarely,Pass
41,Polsci,Rare,41,Senior,Always,Fail
92,Polsci,Rare,28,Junior,Rarely,Fail
97,Comm,Always,18,Senior,Always,Pass
30,Cs,Rare,11,Sophomore,Rarely,Fail
92,Stat,Rare,23,Junior,Rarely,Fail
56,Polsci,Always,4,Junior,Always,Pass
76,Cs,Always,74,Junior,Always,Pass
43,Cs,Always,71,Junior,Always,Pass
60,Stat,Always,22,Freshman,Always,Fail
100,Cs,Always,77,Junior,Rarely,Pass
71,Cs,Always,31,Freshman,Rarely,Fail
80,Polsci,Always,57,Senior,Rarely,Pass
24,Comm,Always,53,Senior,Always,Fail
85,Comm,Rare,72,Junior,Always,Pass
34,Polsci,Always,42,Sophomore,Always,Pass
81,Comm,Rare,52,Sophomore,Always,Pass
76,Comm,Always,54,Junior,Rarely,Pass
7,Cs,Always,76,Sophomore,Always,Pass
45,Comm,Always,14,Senior,Always,Pass
43,Polsci,Rare,87,Senior,Always,Pass
16,Cs,Rare,11,Junior,Always,Fail
49,Stat,Always,64,Junior,Always,Pass
18,Cs,Rare,2,Senior,Rarely,Fail
63,Cs,Rare,48,Freshman,Rarely,Fail
41,Polsci,Always,24,Sophomore,Always,Pass
95,Stat,Always,71,Freshman,Always,Fail
79,Polsci,Always,96,Junior,Always,Pass
98,Polsci,Rare,62,Freshman,Rarely,Pass
32,Stat,Rare,53,Sophomore,Always,Fail
71,Stat,Always,71,Junior,Always,Pass
33,Cs,Always,42,Sophomore,Always,Fail
100,Cs,Rare,9,Junior,Rarely,Fail
49,Stat,Always,26,Sophomore,Rarely,Fail
90,Polsci,Rare,62,Freshman,Always,Pass
79,Polsci,Rare,2,Freshman,Rarely,Fail
59,Stat,Rare,13,Junior,Rarely,Fail
71,Stat,Always,100,Junior,Always,Fail
28,Cs,Rare,7,Sophomore,Rarely,Fail
57,Stat,Always,67,Junior,Rarely,Pass
75,Polsci,Always,59,Sophomore,Rarely,Fail
7,Comm,Always,61,Senior,Always,Pass
48,Polsci,Rare,22,Sophomore,Rarely,Fail
88,Cs,Always,29,Junior,Always,Fail
11,Cs,Rare,39,Freshman,Always,Fail
65,Stat,Rare,49,Freshman,Rarely,Fail
35,Comm,Always,51,Junior,Always,Pass
95,Cs,Always,73,Sophomore,Always,Pass
80,Cs,Rare,40,Junior,Rarely,Fail
27,Cs,Always,11,Freshman,Always,Fail
4,Comm,Always,50,Freshman,Always,Pass
35,Comm,Always,35,Junior,Rarely,Fail
40,Stat,Always,16,Senior,Rarely,Fail
88,Comm,Rare,83,Freshman,Always,Pass
55,Cs,Rare,70,Sophomore,Rarely,Pass
76,Stat,Always,32,Senior,Always,Fail
21,Cs,Rare,51,Junior,Rarely,Fail
11,Polsci,Rare,40,Senior,Always,Fail
56,Comm,Always,40,Junior,Rarely,Pass
8,Cs,Rare,5,Freshman,Always,Fail
86,Stat,Always,52,Junior,Rarely,Fail
80,Stat,Rare,34,Junior,Always,Fail
54,Comm,Rare,42,Senior,Always,Pass
79,Polsci,Rare,8,Freshman,Always,Fail
41,Polsci,Always,36,Senior,Rarely,Pass
36,Stat,Rare,45,Junior,Always,Fail
98,Comm,Always,70,Senior,Rarely,Pass
83,Cs,Always,87,Freshman,Always,Pass
54,Cs,Rare,26,Senior,Always,Fail
16,Comm,Always,93,Senior,Rarely,Pass
81,Stat,Always,32,Junior,Rarely,Fail
2,Cs,Rare,13,Senior,Always,Fail
64,Comm,Rare,99,Sophomore,Rarely,Pass
38,Comm,Always,93,Junior,Always,Pass
94,Stat,Rare,94,Senior,Always,Pass
28,Stat,Rare,20,Senior,Rarely,Fail
42,Polsci,Rare,54,Freshman,Always,Pass
41,Comm,Always,56,Freshman,Always,Pass
98,Polsci,Rare,65,Junior,Always,Pass
31,Comm,Always,47,Freshman,Rarely,Pass
46,Polsci,Rare,87,Junior,Always,Pass
52,Polsci,Rare,20,Junior,Rarely,Fail
5,Cs,Always,46,Freshman,Rarely,Fail
28,Comm,Rare,44,Freshman,Rarely,Fail
18,Polsci,Always,38,Freshman,Rarely,Pass
93,Polsci,Rare,77,Junior,Always,Fail
87,Comm,Rare,31,Junior,Always,Pass
60,Polsci,Always,48,Junior,Always,Pass
37,Comm,Always,12,Freshman,Rarely,Fail
22,Comm,Always,69,Sophomore,Always,Pass
45,Polsci,Always,95,Sophomore,Always,Pass
32,Stat,Rare,83,Senior,Rarely,Pass
65,Cs,Rare,98,Sophomore,Rarely,Pass
5,Polsci,Always,91,Sophomore,Always,Fail
70,Stat,Rare,32,Freshman,Always,Fail
19,Comm,Always,82,Junior,Rarely,Pass
76,Stat,Rare,97,Junior,Always,Pass
80,Stat,Rare,83,Sophomore,Always,Pass
37,Cs,Always,98,Freshman,Rarely,Pass
20,Stat,Rare,85,Junior,Always,Fail
15,Cs,Rare,70,Sophomore,Always,Pass
78,Stat,Rare,41,Freshman,Always,Fail
68,Cs,Always,89,Sophomore,Rarely,Pass
21,Stat,Rare,49,Junior,Rarely,Fail
67,Polsci,Always,16,Sophomore,Rarely,Pass
50,Cs,Always,64,Sophomore,Always,Pass
29,Stat,Rare,58,Freshman,Rarely,Fail
44,Polsci,Rare,8,Senior,Always,Fail
60,Comm,Rare,84,Sophomore,Always,Pass
44,Stat,Always,98,Junior,Rarely,Pass
53,Cs,Rare,9,Senior,Always,Fail
0,Polsci,Always,40,Freshman,Always,Pass
77,Comm,Always,21,Freshman,Always,Pass
14,Comm,Rare,29,Sophomore,Rarely,Fail
74,Stat,Always,59,Sophomore,Always,Fail
80,Polsci,Rare,13,Senior,Rarely,Fail
18,Stat,Rare,80,Junior,Always,Fail
0,Stat,Rare,6,Junior,Rarely,Fail
50,Polsci,Always,6,Junior,Rarely,Pass
17,Comm,Rare,74,Freshman,Always,Pass
89,Polsci,Always,44,Freshman,Rarely,Pass
65,Comm,Rare,62,Senior,Rarely,Pass
65,Comm,Rare,35,Junior,Always,Fail
17,Cs,Always,61,Senior,Rarely,Fail
4,Stat,Always,21,Sophomore,Always,Fail
64,Cs,Rare,48,Sophomore,Rarely,Fail
9,Stat,Always,43,Sophomore,Rarely,Fail
19,Comm,Always,89,Junior,Rarely,Pass
17,Polsci,Rare,25,Freshman,Always,Fail
80,Comm,Rare,15,Junior,Rarely,Fail
44,Comm,Rare,36,Junior,Rarely,Fail
54,Cs,Always,87,Junior,Rarely,Pass
36,Polsci,Always,88,Sophomore,Always,Fail
96,Polsci,Always,4,Freshman,Always,Pass
0,Comm,Always,64,Junior,Always,Pass
50,Polsci,Always,7,Senior,Rarely,Pass
47,Stat,Always,15,Senior,Always,Fail
57,Stat,Always,20,Junior,Rarely,Fail
96,Stat,Always,61,Junior,Always,Pass
66,Comm,Rare,32,Junior,Rarely,Fail
54,Polsci,Always,81,Sophomore,Rarely,Pass
21,Comm,Always,52,Freshman,Rarely,Fail
72,Cs,Always,24,Sophomore,Rarely,Fail
12,Polsci,Rare,63,Sophomore,Rarely,Pass
71,Cs,Rare,90,Junior,Rarely,Pass
22,Comm,Rare,85,Junior,Always,Pass
10,Comm,Always,20,Senior,Always,Pass
41,Comm,Rare,57,Sophomore,Always,Pass
11,Polsci,Rare,36,Junior,Rarely,Fail
30,Stat,Always,39,Freshman,Always,Fail
41,Stat,Rare,28,Sophomore,Always,Fail
28,Stat,Always,80,Freshman,Rarely,Pass
59,Comm,Rare,87,Freshman,Rarely,Pass
23,Stat,Rare,59,Sophomore,Always,Fail
73,Stat,Rare,23,Freshman,Rarely,Fail
79,Cs,Rare,39,Freshman,Always,Fail
61,Comm,Always,92,Senior,Always,Pass
67,Stat,Rare,83,Sophomore,Rarely,Pass
7,Comm,Rare,15,Sophomore,Always,Pass
62,Polsci,Rare,35,Senior,Rarely,Fail
36,Comm,Rare,62,Senior,Rarely,Pass
19,Polsci,Rare,9,Senior,Always,Fail
6,Cs,Always,98,Sophomore,Rarely,Pass
100,Polsci,Rare,13,Sophomore,Always,Fail
84,Stat,Always,53,Freshman,Always,Fail
26,Polsci,Rare,89,Junior,Always,Pass
98,Polsci,Rare,12,Junior,Always,Fail
57,Polsci,Rare,36,Freshman,Rarely,Fail
1,Cs,Always,66,Sophomore,Always,Pass
9,Polsci,Always,38,Sophomore,Always,Pass
44,Polsci,Always,61,Senior,Rarely,Pass
29,Stat,Always,13,Sophomore,Always,Fail
88,Stat,Always,9,Senior,Always,Fail
98,Cs,Rare,4,Sophomore,Rarely,Fail
28,Polsci,Always,22,Senior,Rarely,Pass
59,Stat,Rare,12,Freshman,Always,Fail
19,Comm,Rare,88,Junior,Rarely,Pass
25,Cs,Always,18,Senior,Always,Fail
23,Polsci,Always,28,Junior,Rarely,Pass
98,Comm,Rare,4,Senior,Always,Pass
82,Cs,Rare,32,Sophomore,Rarely,Fail
28,Cs,Rare,65,Freshman,Rarely,Fail
52,Stat,Rare,61,Freshman,Rarely,Fail
56,Stat,Always,14,Freshman,Always,Fail
25,Comm,Rare,97,Freshman,Rarely,Pass
18,Comm,Always,93,Senior,Always,Pass
58,Comm,Always,23,Junior,Rarely,Fail
95,Cs,Always,58,Senior,Rarely,Fail
95,Polsci,Always,15,Freshman,Rarely,Pass
23,Comm,Always,89,Senior,Rarely,Pass
9,Stat,Rare,38,Freshman,Always,Fail
86,Cs,Always,53,Junior,Rarely,Fail
92,Comm,Rare,25,Junior,Always,Pass
70,Cs,Always,0,Senior,Always,Fail
63,Cs,Rare,42,Freshman,Rarely,Fail
2,Cs,Always,41,Freshman,Always,Fail
71,Polsci,Rare,12,Senior,Rarely,Fail
71,Cs,Rare,81,Senior,Rarely,Pass
93,Comm,Rare,5,Junior,Always,Fail
71,Comm,Always,89,Senior,Always,Pass
77,Comm,Always,55,Sophomore,Always,Pass
30,Polsci,Rare,94,Freshman,Always,Fail
99,Stat,Always,18,Sophomore,Always,Fail
34,Cs,Rare,85,Junior,Always,Pass
93,Comm,Rare,29,Junior,Always,Pass
30,Cs,Always,26,Junior,Always,Fail
28,Cs,Always,1,Senior,Always,Fail
18,Cs,Rare,3,Freshman,Always,Fail
87,Cs,Always,91,Sophomore,Always,Pass
75,Cs,Always,42,Freshman,Rarely,Fail
88,Polsci,Always,73,Senior,Always,Pass
32,Polsci,Rare,86,Junior,Always,Pass
56,Polsci,Rare,99,Sophomore,Always,Fail
61,Cs,Always,85,Freshman,Always,Pass
21,Cs,Rare,77,Senior,Always,Pass
0,Comm,Always,90,Junior,Rarely,Pass
76,Cs,Always,71,Freshman,Rarely,Pass
39,Polsci,Always,32,Freshman,Always,Pass
55,Comm,Rare,77,Sophomore,Rarely,Pass
6,Polsci,Always,50,Freshman,Rarely,Pass
20,Comm,Always,30,Freshman,Rarely,Fail
0,Polsci,Rare,46,Junior,Rarely,Fail
0,Cs,Always,74,Freshman,Always,Pass
81,Polsci,Rare,68,Freshman,Always,Pass
98,Cs,Rare,84,Sophomore,Always,Pass
