Doze,Participation,Question,Score,Text,Grade
Never,99,Always,87,Always,A
Never,75,Never,62,Sometimes,A
Never,35,Always,81,Always,A
Always,24,Always,68,Always,C
Always,14,Always,89,Never,A
Never,58,Never,93,Never,B
Always,56,Never,98,Never,B
Never,78,Always,50,Always,C
Always,90,Always,4,Always,C
Never,88,Always,100,Sometimes,A
Always,78,Never,38,Never,C
Never,89,Never,42,Always,B
Always,91,Always,1,Always,D
Never,21,Always,52,Always,C
Never,98,Never,61,Never,F
Always,56,Never,78,Never,C
Never,40,Never,11,Sometimes,C
Never,99,Always,79,Never,F
Always,71,Always,90,Sometimes,A
Never,71,Always,97,Sometimes,A
Always,38,Always,56,Always,C
Never,35,Always,91,Always,A
Never,12,Never,81,Never,B
Never,52,Always,94,Never,A
Never,68,Never,95,Never,A
Always,95,Never,29,Never,C
Never,33,Always,12,Never,F
Always,50,Always,53,Always,C
Always,70,Always,99,Never,A
Never,57,Always,76,Sometimes,B
Never,15,Never,32,Always,D
Always,93,Always,82,Sometimes,A
Never,97,Never,28,Never,C
Never,43,Never,9,Sometimes,D
Always,89,Never,71,Never,C
Always,9,Never,18,Never,F
Always,61,Always,5,Always,C
Always,61,Always,3,Never,F
Always,46,Always,83,Always,A
Never,49,Never,27,Never,C
Never,92,Never,79,Never,B
Always,50,Always,70,Always,C
Never,33,Always,34,Always,F
Never,43,Never,34,Never,D
Always,63,Never,84,Never,B
Never,92,Never,66,Sometimes,D
Always,100,Never,33,Always,D
Never,50,Always,69,Always,C
Never,44,Always,79,Sometimes,F
Always,67,Never,97,Sometimes,A
Always,1,Always,7,Sometimes,F
Always,66,Always,17,Never,D
Always,3,Always,31,Sometimes,F
Never,48,Always,24,Sometimes,D
Always,62,Never,65,Never,C
Always,91,Never,88,Always,B
Always,24,Never,95,Sometimes,B
Never,33,Never,1,Never,F
Never,67,Always,82,Sometimes,A
Never,26,Never,27,Sometimes,F
Always,38,Never,99,Never,B
Always,49,Never,92,Always,B
Always,3,Never,8,Never,F
Never,74,Never,22,Sometimes,D
Always,27,Always,84,Always,A
Never,96,Always,75,Always,F
Always,69,Never,48,Never,F
Always,58,Never,6,Always,A
Never,30,Never,45,Never,F
Always,38,Always,34,Always,F
Never,17,Never,8,Always,F
Always,71,Never,53,Never,C
Never,98,Always,91,Never,A
Always,60,Always,20,Never,C
Always,87,Always,47,Never,C
Always,63,Always,53,Always,D
Never,2,Always,20,Never,F
Always,64,Never,45,Sometimes,C
Always,4,Never,27,Sometimes,F
Always,59,Always,39,Always,A
Never,36,Never,47,Always,F
Never,41,Never,28,Always,A
Never,55,Never,21,Sometimes,F
Always,45,Never,20,Sometimes,D
Always,19,Always,53,Always,C
Never,76,Always,76,Always,A
Always,49,Never,81,Always,B
Never,79,Always,98,Sometimes,B
Always,85,Never,54,Sometimes,C
Never,87,Never,57,Sometimes,B
Never,18,Never,50,Sometimes,B
Always,20,Never,29,Always,F
Always,88,Never,12,Always,D
Never,76,Never,54,Never,F
Always,21,Always,75,Never,C
Never,17,Always,96,Never,A
Never,28,Always,58,Always,F
Always,58,Always,66,Sometimes,C
Never,23,Always,75,Sometimes,B
Never,64,Always,98,Sometimes,A
Always,31,Always,38,Always,F
Never,72,Never,66,Sometimes,A
Always,58,Always,39,Never,C
Always,27,Always,55,Never,D
Never,70,Always,62,Always,B
Never,46,Never,61,Always,F
Never,93,Never,61,Sometimes,F
Always,85,Never,54,Never,C
Always,29,Always,89,Always,A
Always,2,Never,41,Never,F
Always,75,Never,79,Never,C
Never,2,Always,32,Never,F
Always,58,Never,68,Sometimes,C
Never,79,Always,17,Sometimes,D
Never,22,Never,60,Never,C
Never,48,Always,46,Sometimes,C
Never,14,Never,44,Sometimes,F
Always,93,Always,54,Never,C
Always,85,Never,49,Never,C
Never,78,Never,51,Always,A
Always,2,Always,24,Never,F
Never,44,Never,30,Never,D
Always,36,Never,63,Sometimes,C
Always,85,Always,24,Sometimes,C
Always,75,Always,2,Never,C
Never,36,Always,12,Never,F
Always,92,Never,31,Sometimes,C
Always,35,Never,20,Sometimes,F
Never,61,Always,12,Never,D
Always,92,Never,25,Sometimes,C
Never,24,Always,58,Always,F
Never,78,Always,78,Always,A
Never,66,Always,43,Never,C
Never,88,Always,86,Always,A
Always,27,Never,71,Sometimes,C
Never,15,Always,64,Never,A
Never,52,Never,4,Sometimes,C
Always,4,Never,25,Never,F
Always,71,Always,89,Never,A
Never,74,Always,24,Sometimes,F
Always,17,Never,89,Never,B
Never,23,Never,1,Never,F
Always,22,Never,54,Always,D
Never,43,Always,28,Sometimes,D
Always,9,Always,38,Always,F
Never,94,Always,90,Sometimes,A
Always,19,Never,65,Sometimes,D
Never,54,Never,60,Always,D
Always,71,Always,65,Never,C
Always,0,Never,13,Sometimes,D
Never,17,Always,6,Never,F
Always,79,Always,27,Always,F
Never,55,Always,1,Sometimes,C
Always,16,Always,20,Sometimes,F
Never,34,Never,11,Never,F
Never,70,Always,4,Never,C
Always,94,Never,19,Sometimes,D
Always,94,Never,75,Never,C
Always,46,Never,23,Always,A
Always,29,Always,71,Sometimes,C
Never,71,Always,90,Always,A
Never,32,Always,75,Always,A
Never,61,Always,98,Never,A
Never,78,Never,70,Always,A
Always,43,Never,29,Never,C
Never,89,Never,7,Never,C
Never,64,Always,88,Always,A
Never,52,Never,88,Sometimes,B
Never,91,Never,14,Always,D
Never,79,Never,4,Always,F
Always,8,Always,60,Never,C
Always,73,Always,98,Always,A
Never,8,Never,83,Always,B
Always,2,Always,82,Sometimes,A
Always,1,Always,69,Always,D
Never,24,Never,79,Never,C
Always,42,Always,23,Never,D
Never,2,Always,100,Always,B
Never,52,Never,77,Never,F
Always,31,Never,67,Always,C
Always,62,Never,30,Always,F
Always,65,Always,1,Sometimes,D
Always,78,Never,93,Never,A
Never,38,Never,45,Never,F
Never,35,Always,17,Never,F
Always,44,Always,81,Sometimes,A
Never,49,Never,3,Sometimes,F
Never,71,Always,74,Sometimes,F
Always,8,Never,21,Sometimes,F
Never,50,Always,39,Never,C
Never,51,Never,59,Sometimes,A
Always,16,Always,64,Sometimes,C
Always,33,Always,24,Never,F
Always,66,Never,18,Sometimes,C
Never,0,Always,72,Sometimes,D
Never,77,Always,87,Never,A
Never,96,Always,71,Never,B
Always,74,Always,68,Sometimes,C
Never,67,Never,66,Always,F
Always,60,Never,82,Always,B
Always,45,Always,66,Sometimes,C
Never,60,Never,61,Sometimes,B
Never,70,Always,41,Never,D
Never,1,Always,56,Always,A
Always,14,Never,63,Sometimes,C
Never,34,Never,49,Sometimes,D
Never,67,Never,69,Always,C
Always,70,Always,43,Never,C
Never,1,Never,86,Sometimes,B
Never,79,Always,81,Sometimes,A
Always,26,Never,22,Never,F
Always,76,Always,54,Always,C
Always,0,Always,41,Sometimes,F
Never,91,Never,94,Always,B
Always,89,Never,38,Sometimes,F
Never,30,Never,42,Sometimes,F
Never,15,Never,63,Always,A
Never,42,Always,89,Always,A
Never,24,Never,87,Always,B
Never,41,Always,11,Always,C
Always,13,Always,32,Never,D
Never,47,Always,50,Always,D
Always,85,Always,82,Always,A
Always,77,Always,46,Always,C
Always,45,Never,30,Never,C
Always,56,Always,55,Always,C
Never,42,Never,96,Never,B
Never,39,Always,76,Always,A
Never,43,Always,31,Never,F
Always,22,Never,26,Always,F
Never,19,Always,60,Always,C
Always,77,Always,81,Never,A
Always,22,Never,46,Never,D
Never,56,Never,25,Always,A
Always,69,Never,76,Always,C
Never,64,Never,84,Never,B
Always,51,Never,80,Sometimes,B
Always,36,Never,23,Always,D
Never,71,Always,25,Always,D
Always,18,Never,46,Always,F
Never,37,Never,81,Never,A
Always,39,Never,36,Always,F
Never,46,Never,97,Never,A
Always,54,Always,95,Always,A
Never,83,Always,52,Always,F
Always,3,Never,60,Never,C
Never,82,Always,59,Never,B
Never,93,Never,36,Always,F
Always,39,Never,50,Sometimes,C
Never,85,Never,0,Always,A
Never,40,Always,66,Always,A
Never,7,Never,61,Always,B
Never,19,Always,14,Sometimes,F
Always,22,Never,26,Always,F
Never,30,Always,75,Sometimes,C
Never,51,Never,20,Never,C
Always,24,Always,54,Always,C
Always,48,Always,58,Always,D
Always,84,Never,86,Never,A
Always,21,Never,55,Never,C
Always,15,Never,95,Always,A
Always,81,Never,32,Never,C
Never,14,Never,56,Sometimes,B
Never,80,Always,19,Sometimes,D
Always,72,Always,1,Sometimes,C
Never,20,Always,65,Never,C
Always,50,Always,21,Never,C
Always,2,Always,89,Sometimes,B
Never,45,Always,65,Never,D
Never,67,Always,17,Always,C
Always,69,Always,54,Sometimes,C
Always,87,Always,24,Sometimes,C
Always,32,Always,57,Always,D
Always,34,Never,57,Sometimes,D
Never,47,Never,21,Always,F
Never,8,Always,23,Sometimes,F
Always,58,Always,37,Sometimes,F
Always,83,Always,2,Sometimes,D
Never,50,Always,68,Sometimes,D
Always,31,Never,70,Sometimes,D
Always,77,Always,8,Never,C
Never,80,Always,6,Sometimes,C
Never,66,Always,11,Never,C
Never,6,Never,68,Sometimes,D
Never,60,Never,57,Sometimes,B
Never,65,Never,67,Always,A
Never,11,Always,68,Sometimes,F
Never,68,Always,96,Always,A
Never,31,Never,21,Sometimes,F
Always,96,Always,45,Never,F
Never,81,Always,96,Sometimes,A
Never,77,Always,21,Sometimes,F
Always,56,Always,27,Always,B
Always,4,Always,47,Always,F
Never,48,Never,73,Always,D
Always,29,Always,48,Always,F
Never,80,Always,16,Never,C
Always,35,Never,24,Always,F
Always,40,Never,48,Never,C
Always,89,Always,7,Never,C
Always,67,Always,0,Sometimes,C
Never,64,Never,0,Always,A
Always,5,Always,92,Always,A
Never,2,Never,17,Never,F
Never,74,Always,37,Never,F
Always,0,Never,86,Sometimes,A
Always,43,Never,36,Always,A
Always,79,Always,15,Always,C
Never,21,Always,10,Sometimes,F
Always,61,Never,95,Never,B
Never,55,Always,30,Never,D
Always,99,Always,78,Never,C
Always,38,Always,82,Never,A
Never,32,Always,94,Sometimes,B
Never,38,Always,32,Always,F
Never,95,Always,21,Always,D
Never,70,Always,49,Always,A
Never,12,Never,95,Never,B
Always,69,Always,6,Never,F
Never,96,Never,92,Never,A
Never,6,Always,63,Sometimes,B
Never,79,Never,31,Sometimes,D
Never,10,Always,19,Sometimes,F
Always,81,Always,67,Never,C
Never,18,Never,83,Sometimes,B
Always,4,Always,43,Sometimes,F
Always,82,Never,6,Never,C
Always,85,Always,4,Sometimes,D
Never,52,Always,12,Sometimes,C
Always,66,Never,64,Never,C
Always,99,Never,58,Never,D
Never,4,Never,64,Sometimes,B
Never,24,Never,25,Sometimes,F
Always,92,Never,48,Always,D
Never,97,Always,28,Sometimes,F
Always,68,Never,50,Never,C
Always,59,Always,30,Never,D
Never,11,Never,9,Always,D
Never,1,Always,68,Always,D
Never,39,Always,45,Never,D
Always,34,Never,12,Never,D
Always,97,Never,45,Never,F
Never,66,Always,72,Never,A
Always,54,Always,9,Never,F
Always,8,Always,57,Never,C
Never,81,Always,18,Always,D
Never,71,Always,58,Never,F
Never,11,Never,53,Sometimes,D
Never,1,Never,85,Sometimes,A
Never,29,Never,14,Sometimes,D
Always,80,Never,20,Never,C
Always,39,Always,2,Always,F
Always,79,Always,69,Never,C
Always,82,Never,58,Always,C
Never,13,Always,22,Never,F
Never,50,Never,10,Always,C
Never,71,Never,58,Sometimes,C
Never,56,Always,33,Sometimes,C
Never,45,Always,36,Sometimes,C
Always,10,Never,10,Sometimes,D
Never,47,Never,20,Sometimes,D
Never,53,Always,35,Always,B
Always,79,Always,88,Never,A
Always,38,Never,50,Sometimes,C
Never,23,Always,95,Never,A
Never,27,Never,0,Never,D
Always,80,Always,92,Sometimes,A
Never,55,Never,17,Never,D
Always,78,Never,79,Sometimes,D
Always,50,Always,64,Always,C
Never,32,Never,87,Sometimes,A
Never,11,Never,70,Never,C
Always,22,Never,84,Sometimes,B
Always,0,Always,57,Sometimes,C
Always,98,Always,54,Never,C
Always,30,Always,26,Sometimes,F
Never,57,Never,8,Never,D
Always,95,Never,33,Always,B
Never,68,Always,25,Never,D
Never,83,Always,30,Never,F
Always,55,Always,82,Sometimes,A
Never,39,Always,76,Never,A
Always,26,Always,24,Sometimes,F
Always,25,Never,31,Sometimes,D
Always,73,Never,15,Sometimes,F
Never,75,Never,23,Always,D
Always,67,Always,73,Never,C
Never,65,Always,42,Always,C
Always,65,Always,24,Sometimes,F
Never,64,Always,47,Always,A
Always,60,Never,4,Sometimes,C
Never,8,Always,58,Always,F
Always,57,Never,75,Sometimes,C
Always,6,Never,64,Always,C
Always,59,Always,97,Sometimes,A
Never,68,Never,86,Never,B
Never,19,Never,80,Never,B
Always,56,Never,80,Sometimes,A
Never,1,Never,13,Sometimes,F
Always,66,Never,58,Always,C
Never,82,Always,54,Always,D
Always,19,Always,33,Never,F
Never,33,Never,58,Always,C
Always,69,Never,34,Never,C
Never,75,Never,85,Never,B
Never,34,Always,69,Never,F
Never,7,Always,81,Never,A
Always,95,Always,20,Never,C
Always,77,Never,99,Never,B
Never,18,Always,34,Never,F
Always,69,Always,97,Sometimes,B
Always,75,Never,39,Always,A
Never,54,Never,18,Always,C
Always,45,Never,47,Never,C
Never,25,Always,5,Sometimes,F
Never,33,Always,82,Always,B
Never,89,Always,15,Sometimes,C
Always,60,Always,39,Always,B
Always,86,Always,81,Never,A
Always,43,Always,8,Sometimes,C
Always,80,Always,41,Never,F
Never,19,Always,81,Never,A
Always,44,Always,89,Always,A
Always,44,Never,92,Never,B
Never,61,Always,16,Never,C
Never,13,Always,57,Always,C
Never,95,Always,5,Always,A
Never,23,Never,25,Sometimes,F
Never,65,Always,90,Never,B
Always,38,Never,15,Sometimes,F
Never,36,Always,13,Never,F
Never,23,Always,80,Never,B
Never,5,Never,35,Sometimes,F
Never,60,Always,35,Always,C
Never,66,Never,49,Sometimes,F
Always,45,Always,45,Always,D
Never,72,Never,83,Never,B
Never,26,Never,7,Sometimes,D
Never,61,Never,30,Never,C
Always,41,Never,9,Always,C
Never,68,Always,59,Always,C
Always,79,Always,86,Always,A
Always,37,Always,77,Sometimes,C
Never,7,Never,8,Sometimes,F
Never,71,Always,8,Sometimes,D
Always,87,Always,47,Sometimes,D
Never,2,Never,0,Always,F
Never,16,Always,17,Always,F
Always,70,Always,53,Always,C
Always,6,Never,31,Sometimes,D
Always,98,Never,35,Never,D
Never,86,Never,10,Always,B
Never,42,Always,51,Never,F
Never,26,Always,13,Sometimes,F
Always,35,Always,74,Sometimes,C
Always,42,Never,59,Never,C
Never,28,Never,97,Always,A
Always,38,Always,61,Never,C
Always,45,Always,78,Sometimes,C
Always,78,Always,96,Sometimes,A
Never,44,Never,31,Sometimes,C
Always,87,Always,32,Always,F
Never,69,Always,10,Never,F
Never,80,Always,90,Sometimes,A
Never,54,Never,49,Always,C
Never,5,Never,48,Never,F
Always,100,Always,14,Always,C
Never,35,Always,56,Sometimes,C
Always,58,Never,18,Sometimes,D
Never,57,Always,76,Sometimes,A
Always,61,Always,39,Never,C
Never,8,Always,15,Never,F
Always,27,Always,0,Never,F
Always,5,Never,25,Sometimes,F
Always,28,Always,60,Sometimes,C
Always,63,Always,87,Never,A
Never,56,Always,8,Sometimes,C
Never,48,Always,2,Never,D
Always,96,Never,2,Always,A
Never,92,Never,34,Never,F
Never,86,Never,83,Always,A
Always,16,Never,0,Sometimes,F
Never,20,Always,35,Sometimes,F
Never,45,Always,46,Never,F
Never,84,Never,16,Never,C
Always,44,Never,19,Always,C
Always,88,Never,13,Never,C
Never,71,Always,77,Never,F
Always,98,Never,97,Always,B
Never,51,Always,86,Sometimes,A
Always,2,Never,95,Sometimes,B
Always,34,Never,28,Sometimes,F
Never,88,Always,89,Never,A
Always,36,Never,99,Always,B
Always,50,Always,8,Never,D
Always,78,Always,61,Always,D
Always,75,Never,15,Sometimes,D
Never,79,Never,91,Never,A
Never,23,Always,100,Always,B
Always,44,Never,22,Never,C
Always,29,Always,54,Always,C
Always,88,Never,46,Sometimes,D
Never,67,Always,60,Sometimes,C
Always,65,Never,36,Always,A
Never,8,Always,38,Always,D
Never,74,Always,9,Always,A
Never,62,Always,2,Never,F
Always,84,Never,31,Always,A
Always,23,Always,33,Never,F
Always,98,Always,92,Never,A
Never,80,Always,19,Always,F
Always,66,Never,58,Never,C
Never,38,Always,19,Always,F
Never,86,Never,63,Never,C
Always,59,Never,38,Never,C
Always,50,Never,23,Always,B
Never,9,Never,6,Never,F
Always,80,Always,49,Sometimes,D
Never,3,Always,76,Never,D
Always,63,Always,28,Sometimes,D
Always,27,Always,51,Sometimes,C
Always,13,Always,84,Always,A
Always,92,Always,52,Sometimes,C
Always,62,Always,39,Sometimes,F
Never,6,Never,95,Never,B
Always,28,Never,86,Never,B
Always,91,Never,24,Sometimes,F
Always,34,Always,4,Sometimes,F
Never,90,Always,52,Never,C
Always,32,Never,63,Sometimes,D
Always,52,Always,36,Sometimes,D
Never,100,Always,13,Sometimes,F
Never,61,Always,93,Sometimes,A
Never,25,Always,88,Never,A
Never,70,Never,0,Sometimes,C
Always,42,Always,40,Never,C
Always,8,Never,93,Always,B
Always,90,Always,65,Sometimes,C
Always,66,Never,91,Never,A
Always,70,Never,92,Always,B
Never,80,Always,85,Sometimes,A
Always,52,Never,43,Never,F
Always,31,Never,33,Sometimes,D
Never,100,Never,78,Always,B
Never,10,Always,87,Never,B
Never,93,Always,33,Sometimes,D
Always,52,Never,33,Always,A
Never,80,Never,59,Sometimes,F
Always,94,Never,37,Sometimes,C
Always,34,Always,77,Sometimes,D
Never,11,Never,46,Sometimes,F
Always,90,Always,0,Sometimes,D
Never,45,Never,49,Always,A
Never,30,Always,96,Always,A
Always,53,Always,3,Always,B
Never,58,Always,90,Sometimes,A
Always,56,Always,39,Always,B
Always,48,Never,51,Always,C
Never,73,Always,36,Sometimes,F
Never,28,Never,86,Sometimes,B
Always,55,Always,95,Sometimes,A
Never,45,Never,100,Never,B
Always,35,Never,69,Always,D
Always,63,Never,58,Never,C
Always,82,Never,70,Always,C
Never,39,Always,29,Never,F
Always,98,Never,61,Sometimes,D
Never,18,Never,53,Always,A
Never,48,Never,34,Sometimes,D
Always,0,Always,43,Never,D
Always,48,Always,62,Never,C
Always,2,Never,87,Always,B
Always,67,Always,1,Never,F
Always,43,Always,60,Sometimes,D
Always,33,Always,62,Sometimes,C
Always,57,Never,22,Always,D
Never,54,Never,5,Always,B
Always,29,Always,80,Sometimes,A
Always,4,Never,76,Sometimes,D
Never,31,Never,30,Sometimes,F
Always,13,Never,77,Never,D
Never,90,Always,61,Sometimes,D
Never,63,Never,84,Never,B
Always,3,Never,15,Sometimes,F
Never,53,Always,66,Always,F
Never,76,Always,77,Never,B
Always,31,Always,19,Never,F
Never,27,Always,60,Sometimes,B
Always,90,Never,85,Sometimes,A
Always,94,Never,48,Never,C
Always,62,Never,8,Always,B
Always,41,Never,24,Always,C
Never,75,Always,53,Sometimes,A
Never,27,Always,75,Sometimes,C
Never,63,Always,100,Sometimes,A
Always,75,Never,30,Sometimes,D
Never,43,Always,1,Never,D
Never,66,Always,10,Never,F
Always,84,Always,63,Sometimes,C
Never,8,Always,57,Never,B
Never,28,Never,60,Sometimes,C
Never,45,Never,45,Sometimes,C
Never,31,Never,37,Always,F
Always,60,Always,77,Sometimes,C
Never,76,Always,34,Never,C
Never,17,Always,99,Sometimes,A
Always,11,Never,89,Always,B
Never,19,Always,22,Sometimes,F
Always,55,Never,13,Always,C
Always,1,Never,22,Always,F
Never,64,Always,55,Sometimes,B
Never,16,Never,13,Sometimes,F
Always,21,Always,4,Sometimes,F
Always,91,Always,28,Sometimes,D
Always,53,Never,93,Always,A
Never,15,Never,63,Always,B
Always,90,Never,54,Never,C
Never,31,Never,50,Sometimes,A
Always,61,Always,28,Sometimes,C
Always,89,Never,2,Sometimes,F
Never,81,Always,91,Always,A
Never,21,Always,99,Sometimes,A
Never,48,Always,68,Sometimes,D
Always,6,Never,70,Always,C
Never,93,Never,7,Sometimes,D
Always,47,Always,56,Sometimes,C
Always,57,Never,75,Sometimes,C
Always,55,Always,72,Never,C
Never,37,Always,79,Always,A
Never,65,Never,65,Always,F
Always,44,Always,53,Never,C
Never,7,Never,58,Always,D
Never,10,Never,36,Sometimes,F
Never,70,Never,65,Never,C
Always,60,Never,20,Never,C
Never,70,Always,14,Never,F
Always,93,Never,53,Sometimes,C
Always,46,Never,68,Always,C
Always,49,Always,44,Never,C
Never,40,Always,24,Never,D
Always,57,Always,90,Sometimes,A
Never,34,Never,52,Never,B
Never,37,Always,11,Always,F
Never,6,Never,85,Never,B
Never,93,Never,60,Never,D
Never,38,Never,99,Sometimes,A
Always,2,Always,86,Sometimes,A
Always,77,Always,58,Sometimes,C
Never,64,Always,27,Sometimes,C
Always,40,Always,0,Always,A
Always,21,Always,20,Sometimes,F
Never,93,Never,35,Sometimes,C
Always,63,Never,9,Sometimes,D
Never,47,Always,68,Sometimes,F
Always,83,Always,84,Sometimes,A
Never,65,Never,87,Sometimes,B
Always,14,Never,7,Sometimes,F
Never,84,Never,49,Sometimes,D
Always,68,Never,27,Always,C
Always,8,Always,87,Sometimes,A
Always,13,Never,80,Always,B
Always,80,Never,2,Always,B
Never,97,Never,16,Never,F
Never,57,Always,13,Sometimes,C
Always,95,Always,13,Never,F
Always,87,Always,19,Sometimes,F
Never,25,Never,1,Always,F
Never,42,Always,7,Always,B
Never,19,Always,75,Always,A
Always,63,Always,35,Never,C
Never,43,Never,61,Never,D
Always,58,Always,92,Never,A
Never,2,Always,40,Never,F
Never,77,Always,76,Always,C
Never,45,Never,3,Always,F
Never,43,Always,99,Sometimes,A
Never,50,Always,70,Never,F
Always,54,Always,56,Always,C
Never,4,Never,72,Always,A
Always,57,Always,3,Always,C
Never,89,Never,61,Never,D
Always,27,Always,17,Sometimes,F
Never,84,Never,56,Always,F
Never,70,Always,27,Always,A
Never,81,Always,64,Never,D
Never,16,Always,86,Always,A
Always,24,Never,20,Always,F
Always,79,Always,85,Sometimes,A
Always,81,Always,73,Never,C
Never,13,Always,19,Sometimes,F
Never,61,Never,96,Always,B
Never,23,Always,0,Always,F
Always,84,Never,6,Always,C
Never,37,Always,39,Never,F
Never,29,Never,98,Never,B
Never,8,Never,94,Never,B
Always,36,Never,59,Never,C
Always,29,Always,47,Always,F
Always,92,Never,40,Never,C
Never,86,Always,77,Always,B
Never,74,Never,69,Sometimes,C
Always,49,Never,86,Sometimes,B
Never,6,Never,71,Sometimes,B
Always,14,Always,1,Sometimes,F
Never,36,Always,74,Never,B
Never,89,Always,54,Never,D
Always,15,Never,33,Never,F
Always,51,Never,57,Never,C
Always,11,Always,31,Always,F
Always,67,Always,16,Sometimes,C
Always,27,Always,65,Sometimes,C
Never,38,Always,91,Sometimes,A
Always,9,Always,82,Always,A
Never,27,Never,26,Always,D
Never,3,Always,90,Sometimes,A
Always,44,Always,10,Never,C
Never,24,Never,59,Never,F
Never,33,Always,92,Always,A
Never,67,Never,77,Sometimes,D
Never,73,Always,46,Never,C
Always,26,Always,51,Always,D
Never,73,Always,81,Always,A
Never,32,Always,67,Always,B
Always,0,Never,5,Sometimes,F
Always,10,Never,97,Always,B
Always,45,Always,29,Never,C
Never,58,Always,71,Sometimes,B
Never,19,Never,21,Sometimes,D
Always,0,Always,63,Sometimes,C
Never,28,Always,86,Never,A
Never,11,Never,88,Always,A
Always,80,Never,23,Never,D
Never,84,Never,77,Never,C
Always,86,Never,47,Sometimes,C
Always,46,Always,84,Always,B
Never,30,Never,92,Always,B
Always,26,Always,59,Always,C
Never,32,Always,42,Never,F
Always,15,Never,10,Sometimes,F
Always,31,Never,46,Always,D
Always,47,Never,76,Never,C
Always,60,Never,26,Sometimes,C
Never,69,Always,47,Never,C
Always,64,Never,0,Always,A
Never,6,Never,35,Always,F
Always,48,Always,51,Sometimes,C
Always,59,Never,52,Sometimes,C
Never,77,Never,88,Sometimes,B
Always,53,Never,45,Sometimes,D
Always,52,Always,99,Sometimes,A
Never,67,Never,52,Sometimes,A
Never,49,Always,48,Never,C
Always,88,Always,9,Sometimes,F
Always,63,Always,89,Never,A
Always,7,Never,4,Sometimes,D
Always,17,Always,4,Never,D
Never,45,Always,43,Always,A
Never,97,Always,45,Sometimes,D
Always,7,Never,76,Always,D
Never,35,Always,14,Always,F
Always,15,Always,18,Sometimes,F
Never,4,Always,45,Always,D
Never,21,Always,89,Sometimes,A
Always,26,Never,13,Never,F
Always,97,Never,90,Always,A
Always,96,Always,54,Sometimes,C
Never,78,Always,35,Never,C
Never,62,Never,51,Always,B
Never,48,Always,98,Never,A
Always,5,Always,99,Never,A
Never,50,Never,37,Never,F
Never,62,Never,80,Sometimes,B
Never,56,Always,47,Always,B
Always,54,Never,64,Never,C
Never,64,Never,85,Never,B
Never,62,Never,59,Never,C
Always,0,Always,25,Never,F
Always,0,Always,56,Never,C
Always,79,Never,58,Sometimes,C
Always,61,Always,66,Never,C
Always,60,Never,33,Sometimes,D
Always,10,Always,13,Never,F
Never,11,Never,20,Never,D
Never,60,Always,87,Always,A
Never,79,Never,58,Always,A
Never,20,Always,86,Never,A
Never,50,Never,9,Always,D
Always,94,Never,15,Sometimes,C
Never,6,Always,46,Sometimes,F
Never,27,Never,48,Always,F
Always,35,Always,76,Sometimes,C
Always,7,Never,31,Never,F
Never,58,Never,31,Sometimes,F
Never,87,Never,17,Never,F
Always,91,Never,12,Always,A
Never,23,Always,61,Never,F
Always,78,Never,8,Always,A
Always,42,Always,66,Always,D
Never,92,Always,77,Always,F
Always,86,Never,57,Sometimes,C
Always,35,Never,26,Never,F
Always,88,Always,7,Never,C
Always,17,Never,10,Never,F
Never,23,Never,51,Never,A
Never,54,Never,75,Never,B
Always,62,Never,52,Sometimes,C
Always,61,Always,49,Sometimes,C
Never,51,Always,94,Never,A
Never,74,Never,18,Always,D
Never,67,Never,45,Sometimes,F
Always,62,Never,62,Always,D
Always,33,Never,20,Sometimes,D
Always,33,Never,72,Never,C
Never,92,Never,22,Never,D
Always,18,Never,75,Always,C
Always,66,Always,26,Sometimes,D
Always,82,Always,8,Sometimes,C
Always,33,Always,21,Always,F
Never,57,Always,32,Never,C
Never,27,Always,71,Never,A
Never,87,Never,63,Never,A
Always,75,Never,29,Sometimes,C
Never,21,Always,46,Never,F
Always,29,Never,26,Sometimes,F
Always,35,Never,63,Sometimes,C
Always,52,Never,18,Sometimes,C
Never,80,Never,93,Always,B
Never,79,Never,1,Always,D
Never,69,Always,42,Always,B
Always,21,Never,11,Sometimes,D
Never,85,Never,55,Never,D
Always,48,Never,23,Sometimes,D
Always,34,Always,94,Sometimes,A
Never,97,Always,68,Always,B
Never,52,Never,28,Sometimes,C
Always,78,Always,86,Always,A
Never,28,Always,84,Sometimes,A
Never,97,Always,2,Always,F
Always,84,Always,26,Always,F
Never,97,Never,13,Always,C
Never,12,Always,58,Never,D
Never,60,Always,58,Never,D
Never,67,Never,44,Sometimes,C
Never,32,Always,39,Never,F
Always,45,Always,82,Sometimes,A
Always,86,Always,43,Always,F
Never,75,Never,71,Never,F
Always,79,Always,35,Never,C
Always,68,Never,32,Always,B
Never,4,Never,40,Never,F
Never,90,Never,42,Always,D
Always,35,Never,15,Never,D
Always,57,Always,54,Always,C
Never,41,Never,61,Never,A
Never,60,Never,78,Sometimes,C
Never,98,Never,12,Never,C
Never,62,Always,15,Never,C
Never,83,Always,8,Always,F
Always,36,Never,73,Never,C
Never,59,Always,5,Never,D
Always,4,Never,82,Always,B
Never,8,Never,99,Always,B
Always,74,Never,70,Sometimes,C
Never,27,Always,10,Sometimes,F
Always,52,Never,33,Sometimes,C
Never,48,Always,83,Never,A
Always,74,Always,28,Sometimes,C
Always,7,Never,35,Always,D
Never,74,Always,8,Never,C
Always,54,Always,34,Sometimes,C
